prov_insc;anio_div;anio_mat;dur_mat;cau_div;edad_hom;niv_insth;edad_muj;niv_instm
Pichincha;2018;2003;14;Por mutuo consentimiento vía judicial;46;Superior no Universitario;30; Superior no Universitario
Esmeraldas;2017;2010;7;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;35;Superior Universitario;28; Educación media / Bachillerato
Imbabura;2018;2010;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;41;Primaria;39; Primaria
Azuay;2018;2010;8;Por mutuo consentimiento vía judicial;70;Secundaria;61; Superior Universitario
Azuay;2017;2000;17;Por mutuo consentimiento vía judicial;42;Superior Universitario;38; Posgrado
Azuay;2017;1995;21;Por mutuo consentimiento vía judicial;43;Secundaria;46; Secundaria
Azuay;2018;1989;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Educación media / Bachillerato;50; Educación media / Bachillerato
Azuay;2017;1990;27;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Educación básica;46; Primaria
Cañar;2017;1994;22;Por mutuo consentimiento vía judicial;45;Educación media / Bachillerato;37; Educación media / Bachillerato
Azuay;2017;1992;24;Por mutuo consentimiento vía judicial;44;Primaria;42; Primaria
Azuay;2017;2000;16;Por mutuo consentimiento vía judicial;42;Primaria;43; Educación media / Bachillerato
Azuay;2018;2008;10;Por mutuo consentimiento vía judicial;32;Posgrado;33; Educación media / Bachillerato
Azuay;2018;2014;3;Por mutuo consentimiento vía judicial;30;Superior Universitario;29; Superior Universitario
Azuay;2017;2008;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Educación básica;31; Educación básica
Azuay;2017;2010;6;El adulterio de uno de los cónyuges;34;Posgrado;30; Posgrado
Azuay;2018;2011;6;Por mutuo consentimiento vía notarial;34;Secundaria;39; Primaria
Azuay;2018;2005;12;Por mutuo consentimiento vía judicial;33;Educación media / Bachillerato;35; Educación media / Bachillerato
Loja;2018;2012;6;Por mutuo consentimiento vía judicial;28;Primaria;28; Secundaria
Azuay;2018;2005;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;26;Educación media / Bachillerato;31; Educación básica
Azuay;2018;2017;1;Por mutuo consentimiento vía notarial;31;Educación media / Bachillerato;32; Educación media / Bachillerato
Azuay;2018;2014;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;28;Educación media / Bachillerato;23; Educación media / Bachillerato
Bolívar;2018;2006;11;Por mutuo consentimiento vía notarial;41;Educación media / Bachillerato;30; Educación media / Bachillerato
Bolívar;2017;2005;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Educación media / Bachillerato;39; Superior Universitario
Bolívar;2018;2012;5;Por mutuo consentimiento vía judicial;32;Superior no Universitario;32; Superior Universitario
Cañar;2018;1983;35;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;54;Primaria;57; Primaria
Cañar;2018;1987;30;Por mutuo consentimiento vía notarial;50;Educación media / Bachillerato;51; Educación media / Bachillerato
Cañar;2018;1990;27;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;48;Educación media / Bachillerato;45; Educación media / Bachillerato
Cañar;2018;2003;15;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;34; Educación media / Bachillerato
Cañar;2018;2005;13;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;38; Superior Universitario
Azuay;2018;2003;14;Por mutuo consentimiento vía judicial;36;Educación básica;32; Educación media / Bachillerato
Cañar;2018;2017;0;Los tratos crueles o violencia contra la mujer o miembros del núcleo familiar;22;Educación media / Bachillerato;21; Educación media / Bachillerato
Cañar;2018;2011;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;23;Superior no Universitario;23; Educación media / Bachillerato
Carchi;2018;1988;30;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;60;Educación media / Bachillerato;71; Educación básica
Carchi;2017;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;43;Educación media / Bachillerato;44; Educación media / Bachillerato
Pichincha;2018;1996;22;Por mutuo consentimiento vía judicial;44;Educación básica;41; Educación básica
Pichincha;2018;2006;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Educación media / Bachillerato;34; Educación media / Bachillerato
Carchi;2018;2010;8;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;29; Educación media / Bachillerato
Carchi;2018;2006;11;Por mutuo consentimiento vía judicial;34;Educación básica;31; Educación básica
Carchi;2018;2014;3;Por mutuo consentimiento vía notarial;27;Educación media / Bachillerato;23; Educación media / Bachillerato
Carchi;2017;2005;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;30;Primaria;31; Primaria
Imbabura;2018;2014;4;Por mutuo consentimiento vía notarial;22;Educación básica;20; Educación básica
Cotopaxi;2018;1991;26;Por mutuo consentimiento vía notarial;52;Superior Universitario;50; Educación media / Bachillerato
Pichincha;2017;1995;22;Por mutuo consentimiento vía notarial;51;Primaria;50; Secundaria
Cotopaxi;2017;1991;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Primaria;40; Primaria
Pichincha;2018;2012;5;Por mutuo consentimiento vía notarial;34;Educación media / Bachillerato;37; Educación media / Bachillerato
Cotopaxi;2018;1997;20;Por mutuo consentimiento vía judicial;41;Superior Universitario;42; Secundaria
Cotopaxi;2018;2000;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Primaria;35; Primaria
Cotopaxi;2018;2008;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Secundaria;38; Primaria
Cotopaxi;2016;2005;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Primaria;27; Primaria
Cotopaxi;2018;2015;2;Sin Información;21;Educación básica;20; Educación básica
Pichincha;2018;1972;45;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;72;Educación media / Bachillerato;69; Superior Universitario
Pichincha;2018;1980;37;Por mutuo consentimiento vía notarial;61;Superior no Universitario;60; Superior no Universitario
Guayas;2018;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;59;Secundaria;47; Secundaria
Pastaza;2018;1985;32;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;55;Educación media / Bachillerato;56; Primaria
Chimborazo;2017;1993;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;50;Secundaria;44; Secundaria
Chimborazo;2018;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Primaria;42; Secundaria
Tungurahua;2018;1997;20;Por mutuo consentimiento vía judicial;42;Educación básica;36; Educación media / Bachillerato
Chimborazo;2018;1996;21;Por mutuo consentimiento vía judicial;40;Educación media / Bachillerato;47; Secundaria
Chimborazo;2017;2009;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Secundaria;28; Educación básica
El Oro;2017;1980;37;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;57;Superior Universitario;53; Secundaria
Pichincha;2017;2005;12;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;46; Superior Universitario
Azuay;2018;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Primaria;41; Educación media / Bachillerato
Pichincha;2018;2013;5;Por mutuo consentimiento vía judicial;26;Superior no Universitario;25; Educación media / Bachillerato
El Oro;2018;1996;21;Por mutuo consentimiento vía judicial;40;Primaria;39; Primaria
El Oro;2017;2009;7;Por mutuo consentimiento vía judicial;32;Secundaria;30; Secundaria
El Oro;2016;2012;4;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;29;Secundaria;25; Secundaria
El Oro;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;23;Educación media / Bachillerato;26; Superior Universitario
Esmeraldas;2018;1992;25;El adulterio de uno de los cónyuges;55;Educación media / Bachillerato;41; Superior Universitario
Guayas;2018;2009;8;Por mutuo consentimiento vía notarial;48;Educación media / Bachillerato;32; Superior Universitario
Esmeraldas;2018;2005;12;El adulterio de uno de los cónyuges;45;Educación básica;34; Secundaria
Pichincha;2018;2010;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Secundaria;32; Educación media / Bachillerato
Guayas;2018;2012;6;Por mutuo consentimiento vía judicial;39;Secundaria;36; Secundaria
Guayas;2018;2015;2;Por mutuo consentimiento vía notarial;67;Secundaria;43; Secundaria
